test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
71,25,100,1000,64,0.63040199,0.86876785,0.9541033350000001,0.49966666666666665,0.7464184349236384,0.5131049695082393,0.35567496734547
72,25,100,1000,128,0.8690318599999999,0.9486413050000002,0.9801435450000001,0.9981333333333333,0.9981900452488688,0.9980803510215275,0.9981317111271673
73,25,150,50,32,0.8328228,0.9018356,0.953997555,0.4882,0.7435871743486974,0.5019462826002336,0.3314613554619712
74,25,150,50,64,0.8804647,0.86559019,0.935895405,0.7916666666666666,0.8500191975427145,0.7972622291423381,0.7846317627447077
75,25,150,50,128,0.8789556999999999,0.929686715,0.980621735,0.9951333333333333,0.9950470164512231,0.9952566800619373,0.995130757504053
76,25,150,100,32,0.8515955599999999,0.9221415100000001,0.9741071849999999,0.9958,0.9957292868607501,0.9958870269016126,0.9957975116599596
77,25,150,100,64,0.8874502700000001,0.91588064,0.9812202449999999,0.9956666666666667,0.9955830388692579,0.9957830543661607,0.9956643195990733
78,25,150,100,128,0.88839188,0.925886195,0.980912725,0.9963333333333333,0.9962667915676071,0.9964134012058359,0.9963311130697186
79,25,150,500,32,0.8542042950000001,0.91207104,0.9816115249999999,0.9996666666666667,0.9996758298755186,0.9996572055395585,0.9996664063731968
80,25,150,500,64,0.8760128799999999,0.93286641,0.983177015,0.9938666666666667,0.9941018079240929,0.9936925819278761,0.9938596793638471
81,25,150,500,128,0.84291664,0.940877565,0.985218465,0.9994666666666666,0.999469970627324,0.9994625772795351,0.9994662561441034
82,25,150,1000,32,0.6755087,0.8934911249999999,0.37489760499999997,0.6028666666666667,0.6176144762050061,0.6070919250114634,0.5953454423264228
83,25,150,1000,64,0.860051215,0.9040571000000001,0.978592955,0.9937333333333334,0.9938737012425887,0.9936143890303211,0.9937270164109793
84,25,150,1000,128,0.8834123200000001,0.9438026300000001,0.982302715,0.9988,0.9988264832759054,0.9987733055532382,0.9987990222226082
85,25,200,50,32,0.846263335,0.9596927550000002,0.9713425649999998,0.978,0.9794699514744307,0.9773755656108598,0.9779457429990966
86,25,200,50,64,0.871749185,0.926475365,0.974608135,0.9880666666666666,0.9886507735226985,0.9877279583161935,0.9880479870515497
87,25,200,50,128,0.8391187099999999,0.8469381,0.9574018150000001,0.8395333333333334,0.8759278350515464,0.8438432593745946,0.8366496190339293
88,25,200,100,32,0.80423437,0.8955599350000001,0.970734325,0.9938666666666667,0.9937720143199074,0.9940240344151228,0.9938637682926181
89,25,200,100,64,0.8624081849999999,0.9195706749999999,0.973002585,0.9989333333333333,0.9989218389549444,0.9989435685861395,0.9989325435863803
90,25,200,100,128,0.8926842749999999,0.9205525250000001,0.9835892749999999,0.9955333333333334,0.9954510163960175,0.9956459365819841,0.9955308862253949
91,25,200,500,32,0.8412574499999999,0.9382958050000002,0.9782076350000001,0.9942666666666666,0.9944822276401899,0.9941039352804059,0.9942602892102336
92,25,200,500,64,0.877899185,0.9356036649999999,0.978402715,0.9952,0.9951212566581167,0.9953031421215426,0.9951972947748915
93,25,200,500,128,0.859324045,0.9379449849999999,0.977318385,0.9994,0.9994013884741502,0.9993977011928608,0.999399540381521
94,25,200,1000,32,0.8551693599999999,0.895941365,0.942278685,0.994,0.9939065210979146,0.9941501037830578,0.9939970945937834
95,25,200,1000,64,0.8932791300000001,0.9111477349999999,0.980305635,0.9947333333333334,0.9946844547958356,0.994782719017372,0.9947298614831928
96,25,200,1000,128,0.884364165,0.90868132,0.9816514749999999,0.9993333333333333,0.9993520798237657,0.999314411079117,0.999332800237758
97,42,50,50,32,0.8457058449999999,0.9161529900000001,0.957255115,0.9927333333333334,0.9929432589160572,0.9925712744273412,0.9927252826137605
98,42,50,50,64,0.736730255,0.7274524800000001,0.9449541450000001,0.7857333333333333,0.8470543447225659,0.791488257428312,0.7779977896481857
99,42,50,50,128,0.850787855,0.867419515,0.9428287249999999,0.8609333333333333,0.888794114511142,0.8646684831970936,0.8591837166728495
100,42,50,100,32,0.83422043,0.90401422,0.932434115,0.5274,0.7535460992907801,0.5400934215648112,0.4107048224695284
101,42,50,100,64,0.639060115,0.8876267350000001,0.964716975,0.9949333333333333,0.9948577533359616,0.9950289065531893,0.9949304132513661
102,42,50,100,128,0.8282949,0.719758765,0.9312010549999999,0.9912666666666666,0.991173008276786,0.9914828186185776,0.9912633331817348
103,42,50,500,32,0.5928323200000001,0.90344768,0.5399901850000001,0.7942,0.8145209778125652,0.790597845815028,0.7893108649822986
104,42,50,500,64,0.56378852,0.857454635,0.9106493550000002,0.4856666666666667,0.4799066957560828,0.4991826840680824,0.3350463214288458
105,42,50,500,128,0.809671105,0.9081619200000001,0.969023145,0.9222666666666667,0.9310793237971391,0.9243544829375892,0.9220708032333853
