test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
72,25,100,1000,128,0.5669894950000001,0.30763775,0.78372632,0.9971538461538462,0.9973533074500036,0.9956213520818131,0.996482605765211
73,25,150,50,32,0.385849675,0.34393230500000005,0.7451700800000001,0.9988461538461538,0.9982086210113827,0.9989482362403987,0.9985775643128947
74,25,150,50,64,0.602700085,0.348052375,0.7927654700000001,0.9977692307692307,0.9975348980141668,0.9969587925093876,0.9972463214744378
75,25,150,50,128,0.494741675,0.30294693500000003,0.7846445700000001,0.9983846153846154,0.9982125136958302,0.9978005947949702,0.9980062868567178
76,25,150,100,32,0.5730309899999999,0.26228207000000003,0.74503113,0.9886153846153846,0.9907618241369271,0.9811637066152741,0.9858175814872085
77,25,150,100,64,0.582682185,0.177299825,0.76858827,0.9976153846153846,0.9976751717949102,0.996438568099247,0.9970544611351897
78,25,150,100,128,0.61433155,0.40278821,0.80441224,0.9973076923076923,0.9972946282710351,0.9960589701349549,0.9966743916042465
79,25,150,500,32,0.34495649,0.304423565,0.6874025399999999,0.8733846153846154,0.9250113895216401,0.7758104058839553,0.8149787555006596
80,25,150,500,64,0.5490038399999999,0.7207962750000001,0.77516264,0.9933076923076923,0.9939200878527374,0.9895546758161846,0.99170726751099
81,25,150,500,128,0.5880613100000001,0.330224265,0.7822553999999999,0.9983076923076923,0.9978303798833273,0.9979948175533924,0.997912556007728
82,25,150,1000,32,0.5659695,0.8018115899999999,0.67076402,0.9254615384615384,0.9503769322636622,0.8695065276103937,0.8996724393150268
83,25,150,1000,64,0.54928746,0.51589874,0.72593806,0.994,0.9942349590472503,0.9909457125563327,0.9925732129590314
84,25,150,1000,128,0.391091,0.366559755,0.7790742599999999,0.9990769230769231,0.9985336504105817,0.9991916315351184,0.9988619576516934
85,25,200,50,32,0.46910633999999996,0.800627115,0.7134801900000001,0.9962307692307693,0.9960451573404192,0.9946477709029342,0.9953433757784266
86,25,200,50,64,0.59519355,0.294807735,0.77171556,0.9986923076923077,0.998100495836298,0.998675830901254,0.9983876404130825
87,25,200,50,128,0.5617788349999999,0.367217695,0.77945246,0.9971538461538462,0.9972701519111807,0.9957039584388117,0.9964831898558877
88,25,200,100,32,0.32754783,0.17659569,0.7460118,0.9976153846153846,0.9976751717949102,0.996438568099247,0.9970544611351897
89,25,200,100,64,0.57633304,0.310741675,0.76714871,0.9973076923076923,0.9972946282710351,0.9960589701349549,0.9966743916042465
90,25,200,100,128,0.54134669,0.35105207,0.7900187700000001,0.9975384615384615,0.9973733608512574,0.9965501845006706,0.9969607034148017
91,25,200,500,32,0.44116764499999994,0.176460095,0.61606652,0.9727692307692307,0.9806010147101445,0.9526929248983824,0.9654296615306952
92,25,200,500,64,0.5698394099999999,0.170078135,0.75284106,0.9966153846153846,0.9974831592577278,0.9941722952528149,0.995810530387146
93,25,200,500,128,0.60545596,0.30475737999999997,0.79344845,0.9981538461538462,0.9977224122142477,0.9977224122142477,0.9977224122142477
94,25,200,1000,32,0.44052887499999993,0.7838399349999999,0.83171748,0.971,0.9747708155123564,0.953525368634153,0.9634224007949422
95,25,200,1000,64,0.51349577,0.332609975,0.78500639,0.9969230769230769,0.9965307884339694,0.9958735949290851,0.9962015083459728
96,25,200,1000,128,0.574706345,0.67696905,0.79357306,0.9975384615384615,0.9968003501668764,0.9971284289996609,0.9969642190303125
97,42,50,50,32,0.40719129499999995,0.34821287,0.7753555000000001,0.9926923076923077,0.993832816627021,0.9881346290316114,0.9909325502071853
98,42,50,50,64,0.22263454,0.38012843500000004,0.76584957,0.9983076923076923,0.9981587287204853,0.9976643921253979,0.9979111753462833
99,42,50,50,128,0.35586152000000004,0.39873338,0.79145035,0.9969230769230769,0.9968602857918709,0.9955431695010906,0.9961989894516402
100,42,50,100,32,0.37948502999999995,0.10984022999999998,0.54673087,0.9856153846153846,0.9860873328319717,0.9783299932119124,0.9821122406349394
101,42,50,100,64,0.56172747,0.77295585,0.7623714699999999,0.9976923076923077,0.9963448265966703,0.997979078837796,0.9971577028046827
102,42,50,100,128,0.5391639650000001,0.274421545,0.7570449899999999,0.9986153846153846,0.9978026205881239,0.9987874473026777,0.9982934989808105
103,42,50,500,32,0.51164192,0.18312203000000002,0.6682879100000001,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
